Date,Open,High,Low,Close,Adj Close,Volume
2012-02-01,52.959999084472656,55.0,52.959999084472656,55.0,43.3809700012207,700
2012-03-01,55.0,55.66999816894531,54.06999969482422,54.97999954223633,43.36518859863281,2400
2012-04-01,54.97999954223633,55.20000076293945,52.970001220703125,55.20000076293945,43.53871536254883,8100
2012-05-01,55.369998931884766,55.369998931884766,50.15999984741211,50.4900016784668,39.823726654052734,18500
2012-06-01,50.4900016784668,52.650001525878906,49.31999969482422,50.869998931884766,40.123451232910156,3700
2012-07-01,50.869998931884766,52.59000015258789,49.77000045776367,52.560001373291016,42.049015045166016,5300
2012-08-01,52.560001373291016,54.9900016784668,51.40999984741211,53.65999984741211,42.92903137207031,8700
2012-09-01,53.65999984741211,59.5099983215332,53.45000076293945,56.060001373291016,44.84907531738281,25700
2012-10-01,56.060001373291016,56.5,54.79999923706055,54.79999923706055,43.8410530090332,21700
2012-11-01,55.31999969482422,56.5,53.0,55.7400016784668,44.59307098388672,12300
2012-12-01,55.439998626708984,56.54999923706055,55.189998626708984,56.11000061035156,44.889076232910156,15100
2013-01-01,57.650001525878906,58.939998626708984,56.220001220703125,58.75,47.64908218383789,13400
2013-02-01,59.470001220703125,60.18000030517578,57.95000076293945,59.119998931884766,47.94917297363281,28400
2013-03-01,58.5,61.0,58.5,60.369998931884766,48.96298599243164,88200
2013-04-01,60.599998474121094,64.0199966430664,59.540000915527344,62.0,50.28499221801758,239500
2013-05-01,61.38999938964844,66.12000274658203,60.58000183105469,63.61000061035156,51.590782165527344,581000
2013-06-01,61.79999923706055,64.58999633789062,58.97999954223633,60.5099983215332,49.07653045654297,21200
2013-07-01,60.5099983215332,65.83000183105469,60.459999084472656,64.02999877929688,52.22360610961914,86500
2013-08-01,64.87999725341797,66.66000366210938,60.220001220703125,62.95000076293945,51.342750549316406,84400
2013-09-01,65.33000183105469,68.0,62.63999938964844,66.48999786376953,54.230003356933594,143300
2013-10-01,64.55999755859375,69.97000122070312,63.869998931884766,68.18000030517578,55.6083869934082,1220500
2013-11-01,68.33000183105469,69.70999908447266,66.44999694824219,69.56999969482422,56.742088317871094,385000
2013-12-01,68.80999755859375,70.61000061035156,66.79000091552734,70.2699966430664,57.31300354003906,547100
